S. No.,Customer Id,Sex,Age,Profile,Store,Product Id,Product Type,Model ID,Product Model,Model Age,RAM,Processor,Graphic,Battery,Price,Offer Number,Country,Area,City,Month,Year
1,10001,m,25,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,December,2013
2,10002,f,20,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,July,2013
3,10003,m,34,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,December,2013
4,10004,f,18,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,July,2013
5,10005,f,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,7,August,2013
6,10006,f,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,17,May,2013
7,10007,m,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,16,July,2013
8,10008,m,20,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,1,1,August,2013
9,10009,f,28,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,December,2013
10,10010,m,29,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,10,December,2013
11,10011,f,35,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,April,2013
12,10012,m,35,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,5,13,October,2013
13,10013,m,38,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,April,2013
14,10014,m,50,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,December,2013
15,10015,f,54,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,July,2013
16,10016,f,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,4,July,2013
17,10017,f,30,N,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,October,2013
18,10018,f,18,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,16,July,2013
19,10019,m,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,August,2013
20,10020,f,25,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,December,2013
21,10021,m,30,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,April,2013
22,10022,m,31,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,October,2013
23,10023,f,25,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,3,December,2013
24,10024,f,29,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,12,October,2013
25,10025,f,60,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,6,16,July,2013
26,10026,m,62,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,December,2013
27,10027,m,60,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,1,October,2013
28,10028,f,23,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,7,19,May,2013
29,10029,f,24,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,13,August,2013
30,10030,f,38,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,December,2013
31,10031,m,21,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,July,2013
32,10032,f,45,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,16,November,2013
33,10033,m,26,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,7,December,2013
34,10034,f,24,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,12,December,2013
35,10035,m,22,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,7,October,2013
36,10036,m,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,7,19,August,2013
37,10037,m,17,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,July,2013
38,10038,f,16,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,14,May,2013
39,10039,f,29,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,December,2013
40,10040,f,39,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,October,2013
41,10041,f,56,B,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,14,December,2013
42,10042,m,34,B,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,2,4,April,2013
43,10043,m,45,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,17,December,2013
44,10044,m,60,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,November,2013
45,10045,m,75,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,12,March,2013
46,10046,m,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,17,July,2013
47,10047,m,23,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,5,August,2013
48,10048,m,35,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,July,2013
49,10049,f,28,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,15,November,2013
50,10050,f,49,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,June,2013
51,10051,m,23,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,December,2013
52,10052,m,26,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,6,October,2013
53,10053,f,25,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,November,2013
54,10054,f,23,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,October,2013
55,10055,f,65,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,October,2013
56,10056,m,50,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,15,December,2013
57,10057,f,54,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,11,July,2013
58,10058,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,18,August,2013
59,10059,m,24,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,2,May,2013
60,10060,m,60,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,23,November,2013
